epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
228,11132,0.28751,0.44355,0.22153,0.94741,0.87522,0.93374,0.63591,0.41717,0.42065,0.36316,0.0165162,0.0055054,0.0165162,0.0055054,0.0165162,0.0055054,0.0165162,0.0055054
36,2302.55,0.49788,0.62489,0.36144,0.87208,0.81441,0.87126,0.47814,0.51317,0.50497,0.45945,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
229,11229.5,0.2806,0.44983,0.2178,0.95253,0.87628,0.93118,0.6348,0.41448,0.42022,0.36122,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856
37,2401.26,0.47672,0.64123,0.35648,0.82228,0.72162,0.77159,0.32725,0.64846,0.52387,0.67187,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
230,11367.7,0.28222,0.45459,0.2197,0.94577,0.87991,0.93373,0.64216,0.40902,0.41723,0.35488,0.0163974,0.0054658,0.0163974,0.0054658,0.0163974,0.0054658,0.0163974,0.0054658
38,2544.51,0.4843,0.62827,0.35738,0.81509,0.72598,0.77939,0.32744,0.65602,0.53432,0.6722,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
231,11501.4,0.27683,0.44705,0.21418,0.94647,0.87718,0.93528,0.64354,0.40769,0.41822,0.35285,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
39,2681.3,0.50255,0.61535,0.36202,0.89157,0.79694,0.87037,0.49613,0.4986,0.50689,0.44548,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
232,11643.8,0.27301,0.44631,0.21667,0.94844,0.87937,0.93644,0.64227,0.41077,0.41971,0.35679,0.0162786,0.0054262,0.0162786,0.0054262,0.0162786,0.0054262,0.0162786,0.0054262
40,2816.6,0.47123,0.63037,0.34669,0.83774,0.75807,0.81653,0.36927,0.60904,0.52857,0.61308,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
233,11784.2,0.28038,0.44459,0.22377,0.94849,0.87882,0.93649,0.64515,0.40941,0.41903,0.35596,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064
41,2961.32,0.46577,0.61617,0.35095,0.85181,0.78821,0.83692,0.40446,0.55612,0.53422,0.57524,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
234,11875,0.27962,0.45663,0.21619,0.9488,0.88003,0.93576,0.64428,0.40814,0.42023,0.35547,0.0161598,0.0053866,0.0161598,0.0053866,0.0161598,0.0053866,0.0161598,0.0053866
42,3048.88,0.47437,0.62238,0.34871,0.8651,0.80864,0.86098,0.4695,0.51097,0.51435,0.47138,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
235,11938.4,0.27826,0.45661,0.21526,0.94753,0.87773,0.93446,0.6445,0.40584,0.42161,0.35349,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668
43,3111.96,0.46362,0.62231,0.34683,0.87492,0.7762,0.83657,0.43139,0.54902,0.52574,0.53056,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
236,12001.6,0.28687,0.44892,0.21568,0.94564,0.87991,0.9351,0.64768,0.40416,0.41777,0.35281,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
44,3174.52,0.48733,0.61924,0.35612,0.84827,0.75986,0.82093,0.37332,0.59284,0.52721,0.60786,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
237,12065,0.27695,0.44811,0.21832,0.94997,0.88103,0.9368,0.653,0.398,0.41505,0.34493,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272
45,3236.37,0.47248,0.61306,0.34508,0.88208,0.7833,0.85102,0.4305,0.55135,0.51047,0.52472,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
238,12190.9,0.27097,0.45301,0.21127,0.94871,0.87555,0.93595,0.65573,0.39317,0.41327,0.33951,0.0159222,0.0053074,0.0159222,0.0053074,0.0159222,0.0053074,0.0159222,0.0053074
46,3365.91,0.47196,0.61627,0.34696,0.85165,0.77729,0.83251,0.37538,0.60182,0.51119,0.63718,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
239,12327.3,0.27744,0.44673,0.21833,0.94813,0.87718,0.93637,0.65652,0.39282,0.41393,0.33971,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876
47,3503.6,0.47258,0.60512,0.34547,0.84143,0.76467,0.82325,0.39705,0.5849,0.50954,0.56539,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
240,12469,0.2745,0.43676,0.21946,0.94435,0.87996,0.9355,0.65911,0.38998,0.41634,0.33725,0.0158034,0.0052678,0.0158034,0.0052678,0.0158034,0.0052678,0.0158034,0.0052678
